Column1,old_labls,labels,start,end,db_uuid,session,bundle,start_item_id,end_item_id,level,attribute,start_item_seq_idx,end_item_seq_idx,type,sample_start,sample_end,sample_rate
1,0.75,0.875,207.4829932,407.4829932,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,759,759,AROUSAL,AROUSAL,1,1,EVENT,9150,9150,44100
2,0.85,0.925,400.1587302,600.1587302,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,762,762,AROUSAL,AROUSAL,2,2,EVENT,17647,17647,44100
3,0.7,0.85,601.0430839,801.0430839,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,764,764,AROUSAL,AROUSAL,3,3,EVENT,26506,26506,44100
4,0.86,0.93,800.2947846,1000.294785,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,766,766,AROUSAL,AROUSAL,4,4,EVENT,35293,35293,44100
5,0.7,0.85,1002.834467,1202.834467,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,768,768,AROUSAL,AROUSAL,5,5,EVENT,44225,44225,44100
6,0.73,0.865,1203.741497,1403.741497,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,770,770,AROUSAL,AROUSAL,6,6,EVENT,53085,53085,44100
7,0.76,0.88,1401.337868,1601.337868,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,772,772,AROUSAL,AROUSAL,7,7,EVENT,61799,61799,44100
8,0.76,0.88,1600.589569,1800.589569,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,774,774,AROUSAL,AROUSAL,8,8,EVENT,70586,70586,44100
9,0.8,0.9,1801.496599,2001.496599,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,776,776,AROUSAL,AROUSAL,9,9,EVENT,79446,79446,44100
10,0.8,0.9,2002.403628,2202.403628,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,778,778,AROUSAL,AROUSAL,10,10,EVENT,88306,88306,44100
11,0.82,0.91,2201.655329,2401.655329,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,780,780,AROUSAL,AROUSAL,11,11,EVENT,97093,97093,44100
12,0.82,0.91,2400.907029,2600.907029,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,782,782,AROUSAL,AROUSAL,12,12,EVENT,105880,105880,44100
13,0.8,0.9,219.1609977,419.1609977,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_11a_1,741,741,AROUSAL,AROUSAL,1,1,EVENT,9665,9665,44100
14,0.8,0.9,401.2018141,601.2018141,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_11a_1,744,744,AROUSAL,AROUSAL,2,2,EVENT,17693,17693,44100
15,0.83,0.915,601.2018141,801.2018141,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_11a_1,746,746,AROUSAL,AROUSAL,3,3,EVENT,26513,26513,44100
16,0.87,0.935,801.2018141,1001.201814,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_11a_1,748,748,AROUSAL,AROUSAL,4,4,EVENT,35333,35333,44100
17,0.85,0.925,1000,1200,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_11a_1,750,750,AROUSAL,AROUSAL,5,5,EVENT,44100,44100,44100
18,0.81,0.905,1200,1400,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_11a_1,752,752,AROUSAL,AROUSAL,6,6,EVENT,52920,52920,44100
19,0.81,0.905,1400,1600,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_11a_1,754,754,AROUSAL,AROUSAL,7,7,EVENT,61740,61740,44100
20,0.8,0.9,1600,1800,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_11a_1,756,756,AROUSAL,AROUSAL,8,8,EVENT,70560,70560,44100
21,0.8,0.9,1802.403628,2002.403628,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_11a_1,758,758,AROUSAL,AROUSAL,9,9,EVENT,79486,79486,44100
22,0.75,0.875,209.4557823,409.4557823,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_12a_1,721,721,AROUSAL,AROUSAL,1,1,EVENT,9237,9237,44100
