Column1,old_labls,labels,start,end,db_uuid,session,bundle,start_item_id,end_item_id,level,attribute,start_item_seq_idx,end_item_seq_idx,type,sample_start,sample_end,sample_rate
1,-0.5,0.25,207.4829932,407.4829932,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,760,760,VALENCE,VALENCE,1,1,EVENT,9150,9150,44100
2,-0.51,0.245,400.1587302,600.1587302,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,761,761,VALENCE,VALENCE,2,2,EVENT,17647,17647,44100
3,-0.57,0.215,601.0430839,801.0430839,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,763,763,VALENCE,VALENCE,3,3,EVENT,26506,26506,44100
4,-0.57,0.215,800.2947846,1000.294785,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,765,765,VALENCE,VALENCE,4,4,EVENT,35293,35293,44100
5,-0.57,0.215,1002.834467,1202.834467,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,767,767,VALENCE,VALENCE,5,5,EVENT,44225,44225,44100
6,-0.51,0.245,1203.741497,1403.741497,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,769,769,VALENCE,VALENCE,6,6,EVENT,53085,53085,44100
7,-0.52,0.24,1401.337868,1601.337868,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,771,771,VALENCE,VALENCE,7,7,EVENT,61799,61799,44100
8,-0.54,0.23,1600.589569,1800.589569,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,773,773,VALENCE,VALENCE,8,8,EVENT,70586,70586,44100
9,-0.56,0.22,1801.496599,2001.496599,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,775,775,VALENCE,VALENCE,9,9,EVENT,79446,79446,44100
10,-0.58,0.21,2002.403628,2202.403628,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,777,777,VALENCE,VALENCE,10,10,EVENT,88306,88306,44100
11,-0.63,0.185,2201.655329,2401.655329,f66e1d15-3170-4686-9b4f-37ffc9e7b02f,0,female1_angry_10a_1,779,779,VALENCE,VALENCE,11,11,EVENT,97093,97093,44100
