Column1,old_labls,labels,start,end,db_uuid,session,bundle,start_item_id,end_item_id,level,attribute,start_item_seq_idx,end_item_seq_idx,type,sample_start,sample_end,sample_rate
1,0.74,0.87,208.6394558,408.6394558,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3436,3436,AROUSAL,AROUSAL,1,1,EVENT,9201,9201,44100
2,0.76,0.88,402.9251701,602.9251701,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3438,3438,AROUSAL,AROUSAL,2,2,EVENT,17769,17769,44100
3,0.81,0.905,606.031746,806.031746,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3439,3439,AROUSAL,AROUSAL,3,3,EVENT,26726,26726,44100
4,0.83,0.915,800.3174603,1000.31746,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3440,3440,AROUSAL,AROUSAL,4,4,EVENT,35294,35294,44100
5,0.8,0.9,1002.335601,1202.335601,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3441,3441,AROUSAL,AROUSAL,5,5,EVENT,44203,44203,44100
6,0.76,0.88,1202.154195,1402.154195,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3442,3442,AROUSAL,AROUSAL,6,6,EVENT,53015,53015,44100
7,0.78,0.89,1405.260771,1605.260771,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3443,3443,AROUSAL,AROUSAL,7,7,EVENT,61972,61972,44100
8,0.79,0.895,1601.746032,1801.746032,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3444,3444,AROUSAL,AROUSAL,8,8,EVENT,70637,70637,44100
9,0.79,0.895,1802.653061,2002.653061,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3445,3445,AROUSAL,AROUSAL,9,9,EVENT,79497,79497,44100
10,0.78,0.89,2003.582766,2203.582766,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3446,3446,AROUSAL,AROUSAL,10,10,EVENT,88358,88358,44100
