Column1,old_labls,labels,start,end,db_uuid,session,bundle,start_item_id,end_item_id,level,attribute,start_item_seq_idx,end_item_seq_idx,type,sample_start,sample_end,sample_rate
1,-0.56,0.22,208.6394558,408.6394558,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3437,3437,VALENCE,VALENCE,1,1,EVENT,9201,9201,44100
2,-0.55,0.225,402.9251701,602.9251701,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3448,3448,VALENCE,VALENCE,2,2,EVENT,17769,17769,44100
3,-0.6,0.2,606.031746,806.031746,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3449,3449,VALENCE,VALENCE,3,3,EVENT,26726,26726,44100
4,-0.62,0.19,800.3174603,1000.31746,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3450,3450,VALENCE,VALENCE,4,4,EVENT,35294,35294,44100
5,-0.62,0.19,1002.335601,1202.335601,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3451,3451,VALENCE,VALENCE,5,5,EVENT,44203,44203,44100
6,-0.55,0.225,1202.154195,1402.154195,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3452,3452,VALENCE,VALENCE,6,6,EVENT,53015,53015,44100
7,-0.57,0.215,1405.260771,1605.260771,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3453,3453,VALENCE,VALENCE,7,7,EVENT,61972,61972,44100
8,-0.57,0.215,1601.746032,1801.746032,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3454,3454,VALENCE,VALENCE,8,8,EVENT,70637,70637,44100
9,-0.58,0.21,1802.653061,2002.653061,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3455,3455,VALENCE,VALENCE,9,9,EVENT,79497,79497,44100
10,-0.62,0.19,2003.582766,2203.582766,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3456,3456,VALENCE,VALENCE,10,10,EVENT,88358,88358,44100
11,-0.63,0.185,2203.378685,2403.378685,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_10a_1,3457,3457,VALENCE,VALENCE,11,11,EVENT,97169,97169,44100
12,-0.56,0.22,201.723356,401.723356,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_11a_1,3459,3459,VALENCE,VALENCE,1,1,EVENT,8896,8896,44100
13,-0.58,0.21,401.723356,601.723356,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_11a_1,3467,3467,VALENCE,VALENCE,2,2,EVENT,17716,17716,44100
14,-0.63,0.185,601.723356,801.723356,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_11a_1,3468,3468,VALENCE,VALENCE,3,3,EVENT,26536,26536,44100
15,-0.62,0.19,802.6077098,1002.60771,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_11a_1,3469,3469,VALENCE,VALENCE,4,4,EVENT,35395,35395,44100
16,-0.62,0.19,1003.469388,1203.469388,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_11a_1,3470,3470,VALENCE,VALENCE,5,5,EVENT,44253,44253,44100
17,-0.58,0.21,1200,1400,20f598d5-96e6-4a43-b3e5-cbfbdf4c5fc9,0,male2_angry_11a_1,3471,3471,VALENCE,VALENCE,6,6,EVENT,52920,52920,44100
