True arousal,Predicted arousal,True valence,Predicted valence
0.875,0.5813,0.25,0.5188
0.9,0.7074,0.235,0.1864
0.875,0.6547,0.25,0.1634
0.88,0.5129,0.245,0.3843
0.88,0.6361,0.24,0.2843
0.885,0.7090,0.21500000000000002,0.4924
0.9299999999999999,0.8027,0.2,0.3881
0.885,0.6478,0.20500000000000002,0.4960
0.875,0.5158,0.25,0.3235
0.905,0.6425,0.25,0.4222
0.875,0.5287,0.24,0.6112
0.89,0.6116,0.21999999999999997,0.6640
0.9,0.7309,0.21999999999999997,0.3084
0.89,0.5758,0.25,0.3810
0.925,0.8495,0.235,0.2054
0.9299999999999999,0.6601,0.42,0.4486
0.9299999999999999,0.6227,0.43,0.3710
0.94,0.6458,0.415,0.4450
0.96,0.7445,0.4,0.2867
0.9299999999999999,0.5090,0.41000000000000003,0.2780
0.935,0.4789,0.405,0.2334
0.96,0.6595,0.39,0.4517
0.95,0.6268,0.39,0.4898
0.9299999999999999,0.5473,0.41000000000000003,0.3113
0.9550000000000001,0.6421,0.415,0.4906
0.9299999999999999,0.5681,0.415,0.5754
0.95,0.6786,0.405,0.5764
0.925,0.6451,0.4,0.3751
0.95,0.5617,0.385,0.5153
0.9450000000000001,0.6976,0.4,0.3521
0.28500000000000003,0.3724,0.315,0.4602
0.3,0.3067,0.315,0.3625
0.29000000000000004,0.3505,0.31,0.4513
0.315,0.4677,0.3,0.2753
0.3,0.3581,0.32,0.3683
0.315,0.3850,0.28500000000000003,0.3821
0.3,0.3506,0.29500000000000004,0.3912
0.29500000000000004,0.3452,0.3,0.4875
0.28500000000000003,0.2519,0.315,0.3253
0.32,0.3804,0.28500000000000003,0.3467
0.29500000000000004,0.2925,0.32,0.5024
0.28,0.3130,0.315,0.5228
0.28500000000000003,0.3530,0.32,0.3220
0.3,0.2734,0.305,0.4016
0.305,0.4309,0.325,0.3538
0.66,0.5693,0.745,0.5008
0.66,0.5863,0.78,0.4587
0.65,0.5473,0.7849999999999999,0.4515
0.6799999999999999,0.6323,0.78,0.2361
0.675,0.5807,0.7849999999999999,0.7830
0.66,0.5483,0.765,0.6300
0.655,0.6546,0.75,0.3260
0.65,0.5261,0.745,0.5901
0.65,0.4292,0.75,0.3854
0.675,0.5953,0.775,0.5114
0.65,0.5210,0.765,0.5789
0.67,0.5248,0.78,0.6119
0.66,0.6009,0.77,0.3554
0.655,0.4845,0.7849999999999999,0.5341
0.67,0.6270,0.775,0.4064
0.88,0.5809,0.875,0.4478
0.89,0.6704,0.885,0.2660
0.895,0.7271,0.9199999999999999,0.2353
0.9199999999999999,0.6433,0.9299999999999999,0.5667
0.89,0.6433,0.885,0.3642
0.915,0.6914,0.925,0.5768
0.915,0.8028,0.905,0.2527
0.9099999999999999,0.7210,0.89,0.6186
0.88,0.5744,0.875,0.3635
0.915,0.8056,0.915,0.5840
0.885,0.6972,0.89,0.7107
0.895,0.7245,0.9,0.5339
0.905,0.7111,0.925,0.4008
0.895,0.5937,0.915,0.5969
0.9,0.8385,0.9199999999999999,0.2332
0.565,0.4636,0.935,0.3217
0.5700000000000001,0.4532,0.9450000000000001,0.2698
0.6,0.5110,0.9550000000000001,0.2852
0.59,0.4215,0.96,0.4763
0.59,0.4829,0.9299999999999999,0.3867
0.615,0.5908,0.9650000000000001,0.5804
0.62,0.6628,0.9650000000000001,0.4689
0.6,0.5377,0.95,0.5183
0.565,0.3708,0.935,0.3701
0.605,0.5001,0.95,0.4185
0.575,0.4357,0.96,0.5868
0.61,0.5455,0.95,0.6182
0.59,0.5695,0.935,0.3982
0.61,0.4489,0.95,0.5388
0.59,0.5529,0.95,0.2915
0.505,0.4095,0.5,0.3911
0.5,0.3520,0.505,0.2277
0.495,0.3096,0.495,0.2546
0.515,0.3765,0.52,0.4053
0.5,0.4522,0.505,0.4218
0.495,0.4125,0.5,0.4979
0.515,0.3946,0.5,0.4521
0.51,0.3946,nan,0.4936
0.5,0.2970,0.5,0.3356
0.515,0.4245,0.515,0.3920
0.505,0.3560,0.52,0.4925
0.52,0.4915,0.51,0.5861
0.495,0.4112,0.51,0.3862
0.505,0.3334,0.505,0.4444
0.505,0.5025,0.495,0.3391
0.265,0.3637,0.07,0.5113
0.24,0.2679,0.06,0.2177
0.25,0.1866,0.065,0.2648
0.27,0.1650,0.06,0.3221
0.24,0.2877,0.06,0.3373
0.26,0.3067,0.05499999999999999,0.4870
0.29000000000000004,0.3663,0.030000000000000027,0.3571
0.27,0.3117,0.07,0.4865
0.25,0.2811,0.044999999999999984,0.3210
0.28500000000000003,0.3784,0.07500000000000001,0.4879
0.25,0.2866,0.04999999999999999,0.5150
0.26,0.4016,0.08000000000000002,0.5987
0.22499999999999998,0.2962,0.03999999999999998,0.3303
0.25,0.2826,0.065,0.4246
0.26,0.2985,0.07,0.2743
